Rank,symbol,name,exchange,industry,market_cap,z_score_rank,m_score_rank,f_score_rank,pe_ratio_rank,forward_pe_rank,forward_growth_rank,pb_ratio_rank,asset_growth_rank,ret_1y_rank,off_max_15_rank,roe_rank,basic_nri_pct_diff_rank,eps_rsd_rank,eps_gr_rank,ss_demand_rank,ss_util_rank,accruals_rank,roa_rank,issuance_rank,noa_rank,profitability_rank,beta_rank
23,STBZ,State Bank Financial Corp,NAS (USA),Banks,750,0.019449427,,0.638751615,0.40605369,0.166657233,,0.865529839,0.376520573,0.005283575,0.436481321,0.192602864,0.155854609,0.439820325,0.198718888,0.612804912,0.270590792,,0.009107318,0.65962241,,,0.393656032
24,MDC,M D C Holdings Inc,NYSE (USA),Homebuilding & Construction,1376,0.183193841,0.215133147,0.15110532,0.023775734,0.26360449,,0.541775836,0.265234295,0.234745144,0.63557019,0.359191866,0.424853705,0.142011421,,0.256784009,0.459759995,0.014511622,0.175371278,0.833980873,0.571710173,0.211419237,0.54510451
25,BAX,Baxter International Inc,NYSE (USA),Medical Instruments & Equipment,38008,0.156214909,0.565321256,0.649039548,0.257950537,0.190808627,,0.149614072,0.093463895,0.070556477,0.48368574,0.295154262,0.364665382,0.929645274,0.2651853,0.218951454,0.016372872,0.679184705,0.143250555,0.684246866,0.122734071,0.54304178,0.227356069
26,FARM,Farmer Bros Co,NAS (USA),Consumer Packaged Goods,412,0.05865009,0.339175769,0.704858027,0.378885437,0.353738616,,0.199361911,0.232864683,0.46406824,0.22572341,0.180057267,0.304037241,0.586493591,,0.055933309,0.062278669,0.122182236,0.546184076,0.407983521,0.894599272,0.054224113,0.748258159
27,IGT,International Game Technology PLC,NYSE (USA),Travel & Leisure,3446,0.021093506,,0.792331499,0.064097639,0.325554172,,0.727528352,0.44544422,0.373498278,0.60243641,0.077241094,0.086908908,0.34883969,,,,0.216199352,0.057004505,0.356729689,0.17343594,0.902475584,0.011734507
28,IBOC,International Bancshares Corp,NAS (USA),Banks,1741,0.37466953,,0.114915458,0.590177972,0.157727213,,0.091970792,0.438348227,0.785392104,0.429486216,0.451608726,0.080984646,0.618558293,0.440801358,0.232804428,0.036112649,,0.049557535,0.418475323,,,0.799413275
29,EA,Electronic Arts Inc,NAS (USA),Application Software,18301,0.001506911,0.098316473,0.117676828,0.84408008,0.362679097,0.618349906,0.58540196,0.122342877,0.943133989,0.294675601,0.200612821,0.12529605,0.3662659,,0.429704494,0.754021727,0.094113865,0.360995244,0.464479872,0.720788052,0.04157264,0.204987165
30,ABG,Asbury Automotive Group Inc,NYSE (USA),Autos,2400,0.445810797,0.437590079,0.498738561,0.028421339,0.483222685,,0.01062405,0.456505338,0.178856257,0.737073819,0.121242167,0.012255288,0.277151946,,0.417573098,0.00844272,0.014750063,0.777466965,0.235271662,0.938449606,0.051858762,0.459112578
31,SCS,Steelcase Inc,NYSE (USA),Industrial Products,2300,0.424491147,0.844417702,0.271475506,0.285960147,0.055213116,,0.091201343,0.677995022,0.641155163,0.361612348,0.425446992,0.480078138,0.398151603,,0.000304661,0.43117085,0.510679714,0.113451722,0.092240561,0.295500431,0.22972136,0.241657499
32,AMTG,Apollo Residential Mortgage Inc,NYSE (USA),REITs,515,0.245707233,,,0.330207617,0.738411465,,0.194567757,0.086154326,0.232707467,0.09172485,0.630765195,0.644435825,0.363351108,,0.005768282,0.748071089,,0.493867351,0.243774625,,,0.145214521
33,AMH,American Homes 4 Rent,NYSE (USA),REITs,3616,0.155031773,,,,0.281226075,,0.608598308,0.610406744,0.10606551,0.219384865,0.627200818,,0.124977081,,0.143236226,0.220041771,0.034341812,0.868506771,0.639393587,0.743948821,0.175540204,0.00440044
34,CASS,Cass Information Systems Inc,NAS (USA),Business Services,617,0.140073087,,0.00337139,0.322503788,0.224871723,,0.196062239,0.733977031,0.825653145,0.167317753,0.529642638,0.222674677,0.447666573,0.173411338,0.136068967,0.501945622,,0.215485077,0.243142471,,,0.802896956
35,HCN,"Health Care REIT, Inc.",NYSE (USA),REITs,24819,0.825028898,0.22407771,0.258988947,0.845111745,0.870686103,,0.872499669,0.562725281,0.219969222,0.796012339,0.370104523,0.117117989,0.001880957,0.045600471,0.360110753,0.228089254,0.135194637,0.664015822,0.187836982,0.200315988,0.025310031,0.030253025
36,PCG,PG&E Corp,NYSE (USA),Utilities - Regulated,24787,0.041842927,,0.359848319,0.010215437,0.081136618,,0.035341469,0.638618847,0.299281749,0.055256438,0.13346581,0.768242853,0.398381734,0.189600965,0.936573166,0.352603867,0.663542679,0.247005946,0.219820083,0.341899272,0.834303006,0.059222589
37,JRN,Journal Communications Inc,NYSE (USA),Entertainment,754,0.081536614,0.374950663,0.343062975,0.184869926,0.233150457,,0.187587623,0.423780096,0.637525299,,0.073570622,0.253904828,0.586452429,,,0.176725038,0.93813126,0.291422222,0.412436596,0.393311309,0.201778987,
38,CSU,Capital Senior Living Corp,NYSE (USA),Health Care Providers,772,0.750910558,0.315970195,0.082045698,,0.133892476,,0.859594226,0.102069134,0.595678631,0.032762457,0.222020594,,0.392436981,,0.142462219,0.120343013,0.280997823,0.779383336,0.580382979,0.194928773,0.294456881,0.440410708
39,GTS,Triple-S Management Corp,NYSE (USA),Insurance,533,0.137508074,,0.200584864,0.356567029,0.047416767,,0.179901136,0.996067223,0.450013958,0.135572121,0.447661679,0.978617662,0.150696245,0.197187898,0.218838984,0.81344347,,0.148779759,0.121602137,,,0.405207187
40,RBC,Regal-Beloit Corp,NYSE (USA),Industrial Products,3425,0.392611394,0.528211012,0.167622362,0.489222481,0.424411018,,0.378277579,0.571104541,0.100943198,0.113260636,0.002542246,,0.176301998,0.528181895,0.203871064,0.108993721,0.464942614,0.549436314,0.406748649,0.412422524,0.599765628,0.592775944
41,DRII,Diamond Resorts International Inc,NYSE (USA),Travel & Leisure,2532,0.000268298,0.271092411,0.182922501,0.238013304,0.200901691,,0.041222597,0.465505388,0.118353719,0.553478636,0.363715627,0.989170396,0.645896946,,0.281281012,0.072689474,0.002572228,0.600651691,0.850924575,0.325370831,0.724240979,0.041070774
42,NBTB,NBT Bancorp Inc,NAS (USA),Banks,1105,0.170421254,,0.002907148,0.380783435,0.343627811,,0.2358677,0.736325131,0.542174655,0.617165135,0.416966555,0.914438534,0.177275991,0.233983377,0.350184873,0.024594518,,0.336719071,0.060278994,,,0.506233957
43,SUSS,Susser Holdings Corp,NYSE (USA),,1772,0.254411895,0.621695102,0.100735543,0.3639174,0.561779201,,0.254361894,0.119131487,,0.409045041,0.75956087,0.269385141,0.646132002,,,,0.41234893,0.027398958,0.131891004,0.402724219,0.351400924,
44,ASCMA,Ascent Capital Group Inc,NAS (USA),Consulting & Outsourcing,547,0.543850311,0.048576065,0.712238736,,0.332997685,,0.483785928,0.028356484,0.541817748,0.068219581,0.807440269,,0.612168197,,0.045910964,0.402054025,0.276904936,0.013566374,0.481620928,0.423365319,0.206679521,0.36156949
45,WWE,World Wrestling Entertainment Inc,NYSE (USA),Entertainment,1069,0.137668853,0.003890539,0.957284785,,0.915750456,,0.204355076,0.327125838,0.288254383,0.119012082,0.147493595,,0.185214228,,0.497633856,0.264286789,0.731516847,0.310126519,0.123917636,0.292028347,0.614058701,0.278694536
46,SSYS,Stratasys Ltd,NAS (USA),Computer Hardware,2721,0.814690953,0.091630172,0.29044342,,0.218618438,,0.473825262,0.046492346,0.01517558,0.43162342,0.749330095,,0.967490426,,0.141915258,0.080397039,0.692450324,0.247895693,0.592461613,0.414956496,0.077588537,0.077191052
47,ARIA,ARIAD Pharmaceuticals Inc,NAS (USA),Biotechnology,1738,0.023127934,0.40494031,0.387107628,,0.925563191,,0.067187299,0.504670798,0.693387098,0.207102847,0.385964207,,0.00358575,,0.226397017,0.618423293,0.196124725,0.426935765,0.36777539,0.421167505,0.055722638,0.530619729
48,COL,Rockwell Collins Inc,NYSE (USA),Aerospace & Defense,12713,0.202131996,0.107755846,0.137798305,0.870265832,0.209702399,0.480730463,0.6163304,0.214005352,0.246999721,0.967167116,0.074027239,0.265160291,0.538291524,0.446404392,0.439400072,0.995808495,0.042017828,0.008739074,0.611362099,0.645197538,0.000418172,0.291712505
49,AVHI,A V Homes Inc,NAS (USA),Homebuilding & Construction,354,0.460085772,0.353520396,0.188191187,,0.463870505,,0.756395537,0.550902366,0.007250788,0.648341956,0.43799338,0.02231032,0.076715935,,0.820664864,0.423498226,0.399952677,0.302197426,0.300242557,0.090967944,0.399347882,0.121012101
50,KCG,KCG Holdings Inc,NYSE (USA),Brokers & Exchanges,1510,0.336122009,,,0.471284897,0.28568397,,0.257445365,0.55546884,0.374530112,0.515738169,0.830075588,0.978655483,0.004705844,0.551460936,0.13078763,0.109661193,,0.043182912,0.381325266,,,0.039237257
51,FBHS,Fortune Brands Home & Security Inc,NYSE (USA),Manufacturing - Apparel & Furniture,7338,0.657180281,0.767896276,0.366092937,0.446646714,0.109671102,,0.006283726,0.310463511,0.13018109,0.072431902,0.029866833,0.511966056,0.205946121,,0.310125999,0.377154157,0.596362945,0.996852633,0.2186639,0.145556428,0.457290116,0.570957096
52,FBC,"Flagstar Bancorp, Inc.",NYSE (USA),Banks,839,0.837375403,,0.116142681,,0.149797763,,0.503964042,0.197739224,0.285874509,0.198724192,0.098725841,,0.085042908,,0.368906433,0.16022181,,0.878667302,0.847897759,,,0.313531353
53,EXAR,Exar Corp,NYSE (USA),Semiconductors,503,0.313646969,0.953298187,0.008296833,,0.240868043,0.692438721,0.780008717,0.229465096,0.31291433,0.151962559,0.039551263,,0.229757819,,0.026576333,0.066467579,0.530517607,0.068123212,0.339436789,0.481654552,0.622608258,0.764209754
54,WPP,Wausau Paper Corp,NYSE (USA),Forest Products,451,0.318649108,0.085646889,0.125009273,,0.488531323,,0.018779019,0.677077462,0.514538023,0.423656729,0.979854083,,0.4337035,,0.136133496,0.143863945,0.550035374,0.290407711,0.070363257,0.915556168,0.135425127,0.184818482
55,LADR,Ladder Capital Corp,NYSE (USA),REITs,1763,0.982629949,,,0.278914161,0.444414628,,0.026459516,0.056245624,0.21924314,0.758177806,0.790880402,0.061869214,0.326774698,0.264903899,0.275867966,0.436833349,,0.291870387,0.115609416,,,
56,RUTH,Ruth's Hospitality Group Inc,NAS (USA),Restaurants,524,0.172403032,0.693586077,0.138795808,0.626355758,0.314709937,,0.381597015,0.035358587,0.677853355,0.563629475,0.069253351,0.452362077,0.78619491,,0.401496095,0.288755451,0.141601143,0.070389539,0.909336151,0.111152963,0.44436492,0.210304364
57,FISI,Financial Institutions Inc,NAS (USA),Banks,333,0.446369619,,0.201458319,0.660342754,0.605560832,,0.843515783,0.04374992,0.0086386,0.098270674,0.055119384,0.604384119,0.032892345,,0.68412925,0.625662659,,0.202959751,0.205379262,,,0.772643931
58,REG,Regency Centers Corp,NYSE (USA),REITs,6179,0.006387875,0.025697601,0.472955054,0.506979269,0.003905362,,0.839759725,0.976657033,0.612537951,0.839983061,0.237374243,0.278372811,0.595122172,,0.152798704,0.240334093,0.297405012,0.008227206,0.03242722,0.221961573,0.92853513,0.145214521
59,TMK,Torchmark Corp,NYSE (USA),Insurance - Life,7131,0.228803521,,0.107177232,0.823328561,0.073442916,,0.654744675,0.229255366,0.378352906,0.177434331,0.543304253,0.322230543,0.622757194,0.521936852,0.376117058,0.249654243,,0.314638913,0.533002337,,,0.49229923
60,SRC,Spirit Realty Capital Inc,NYSE (USA),REITs,4862,0.093303942,0.275819798,0.46882061,,0.075748937,,0.249618729,0.34679766,0.713149494,0.253752272,0.712800881,0.039796994,0.399099348,,0.74699649,0.695868297,0.060728727,0.200849214,0.238058665,0.642802196,0.677851096,0.026769344
61,COKE,Coca-Cola Bottling Co Consolidated,NAS (USA),Beverages - Non-Alcoholic,1064,0.041393118,0.875734537,0.216360314,0.98987175,0.275256657,,0.978836129,0.153253008,0.304065892,0.57126,0.195640439,0.339687175,0.123545166,0.0132695,0.332091776,0.191623857,0.217425887,0.239478008,0.937246765,0.273977895,0.840520811,0.166666667
62,GERN,Geron Corp,NAS (USA),Biotechnology,669,0.161586253,0.420207172,0.220627326,,0.05685947,,0.098453873,0.161514188,0.596383506,0.222495471,0.520181252,,0.121972529,,0.466664502,0.648599733,0.348787871,0.603464976,0.465648404,0.023062517,0.48751687,0.940410708
63,SXI,Standex International Corp,NYSE (USA),Industrial Products,1052,0.03451876,0.290048459,0.498478212,0.695859403,0.021166579,,0.980502307,0.145149042,0.140949157,0.207471063,0.177220036,0.586406067,0.432737252,,0.293341249,0.986424646,0.028856516,0.635053476,0.069278439,0.504282953,0.320676704,0.578474514
64,COBZ,CoBiz Financial Inc,NAS (USA),Banks,504,0.012454796,,0.211019965,0.031653605,0.383714324,,0.601890028,0.996104903,0.156079646,0.65362542,0.098186917,0.279909231,0.829032642,,0.001576834,0.005497269,,0.253623889,0.227997117,,,0.764209754
65,UTL,Unitil Corp,NYSE (USA),Utilities - Regulated,474,0.61945769,,0.100547955,0.498854776,0.052267191,,0.090333799,0.168123826,0.098448333,0.221776986,0.768624866,0.145389783,0.081470825,0.276692363,0.624311411,0.592948575,0.981149423,0.640914244,0.442786679,0.250489036,0.682063253,0.101026769
66,ORI,Old Republic International Corporation,NYSE (USA),Insurance,2751,0.10290151,,0.556361956,0.188998404,0.24823182,,0.35055508,0.374783876,0.690343366,0.076486583,0.228086733,0.299848107,0.497383103,,0.04681649,0.590157942,,0.875150753,0.018394173,,,0.524752475
67,LMNX,Luminex Corp,NAS (USA),Medical Instruments & Equipment,702,0.292980964,0.108941446,0.222029165,0.661086744,0.650562609,,0.427245428,0.028146739,0.505596049,0.16742021,0.37221277,0.280071687,0.258432061,,0.957249139,0.701199961,0.23641424,0.625291257,0.002489211,0.8682653,0.119354814,0.125045838
68,ENH,Endurance Specialty Holdings Ltd,NYSE (USA),,2749,0.027238432,,0.240364377,0.750956507,0.292868457,,0.356506203,0.653097864,0.384094154,0.678321722,0.263439249,0.899657772,0.434627144,,0.372247795,0.080980071,,0.300316192,0.154308598,,,0.349101577
69,RFP,Resolute Forest Products Inc,NYSE (USA),Forest Products,1563,0.065864552,0.437495136,0.287197593,,0.651799318,,0.239098471,0.182362596,0.268854171,0.832376401,0.399051751,,0.03266606,,0.110678375,0.352415811,0.752673755,0.168997011,0.658815118,0.096094433,0.16427335,0.902456912
70,BFS,Saul Centers Inc,NYSE (USA),REITs,1113,0.383950325,0.842793304,0.472265836,0.032630393,0.381868187,,0.123691192,0.637746294,0.622174602,0.121614981,0.035663226,0.036097026,0.335157058,0.304197774,0.402089858,0.410797941,0.048012069,0.678945588,0.157573252,0.916913714,0.330691225,0.109460946
71,BSTC,BioSpecifics Technologies Corp,NAS (USA),Biotechnology,256,0.230353735,0.107802717,0.415902718,0.876908919,0.047510391,,0.932566394,0.460355786,0.346712173,0.491574348,0.599342075,0.04984066,0.636579696,,0.117576829,0.207790821,0.228591761,0.362992474,0.725127269,0.84396049,0.12138748,0.066006601
72,SON,Sonoco Products Co,NYSE (USA),Packaging & Containers,4461,0.808284735,0.872992872,0.137893796,0.111886199,0.111286026,,0.575265671,0.018703179,0.097227375,0.492795818,0.084988919,0.072220615,0.266813844,0.184058295,0.83654328,0.203500347,0.285778406,0.387165859,0.560381595,0.81282123,0.099568143,0.453061973
73,FRME,First Merchants Corp,NAS (USA),Banks,888,0.195016559,,0.453621481,0.606867559,0.175241357,,0.114293368,0.170401061,0.796623449,0.729882456,0.03020406,0.393180736,0.359230512,,0.088779149,0.260207025,,0.809161517,0.448032596,,,0.500183352
74,MEI,Methode Electronics Inc,NYSE (USA),Computer Hardware,1684,0.105840306,0.067739291,0.358252658,0.048704229,0.975460235,,0.283617003,0.078608223,0.28069303,0.759891457,0.270833034,0.914666037,0.392729344,,0.078776446,0.169001374,0.675493681,0.158060271,0.042737368,0.226398963,0.958359543,0.204987165
75,SXT,Sensient Technologies Corp,NYSE (USA),Chemicals,3220,0.109189737,0.044548351,0.414597827,0.294780809,0.291423323,,0.212510075,0.097252253,0.077832704,0.890277541,0.147948412,0.649414324,0.040431004,0.228507254,0.730092244,0.558903594,0.434222984,0.619166209,0.416171768,0.216584766,0.802348337,0.405207187
76,KND,Kindred Healthcare Inc,NYSE (USA),Health Care Providers,1674,0.180530854,0.127117842,0.126581411,,0.073748814,,0.958951487,0.008099391,0.551420292,0.151876418,0.454475595,,0.817266478,,0.064971307,0.601638125,0.05354059,0.334156917,0.450737197,0.340568472,0.631746381,0.739090576
77,BYI,Bally Technologies Inc,NYSE (USA),Travel & Leisure,3195,0.164440603,0.203918964,0.884223943,0.406978942,0.864291185,,0.09668771,0.040152108,,0.235518706,0.701916839,0.129788276,0.058216554,,,,0.001987408,0.650641796,0.478551853,0.980441407,0.070833607,
78,HIW,Highwoods Properties Inc,NYSE (USA),REITs,4188,0.027682268,0.426503677,0.330786482,0.624558794,0.32024152,,0.095612897,0.749821307,0.990431581,0.454162697,0.520470067,0.903755752,0.489839726,0.417577799,0.037727116,0.288591451,0.545391122,0.011611912,0.175734659,0.449810802,0.011804879,0.189402274
79,PGTI,PGT Inc,NAS (USA),Building Materials,547,0.92765535,0.422849056,0.573098572,0.233368556,0.105760002,,0.871819296,0.077303964,0.77837458,0.463930098,0.130569228,0.062720576,0.198679204,,0.467829478,0.277667082,0.633230902,0.387013356,0.004730252,0.468412012,0.205224344,0.037220389
80,PDCO,Patterson Companies Inc,NAS (USA),Medical Distribution,4868,0.535490055,0.310907796,0.837984923,0.616185712,0.479497779,0.286500633,0.186670814,0.395759212,0.445111587,0.910284132,0.172604656,0.147608758,0.091156518,0.360233609,0.567074576,0.205832478,0.517862569,0.00999839,0.43148,0.715550605,0.01641781,0.219655299
81,BF.B,Brown-Forman Corp,NYSE (USA),Beverages - Alcoholic,19649,0.498562575,0.04682357,0.026907425,0.30546837,0.155050661,0.502607951,0.247479412,0.075509803,0.079932025,,0.964459408,0.403023223,0.770819943,0.422697701,0.270276657,0.436762781,0.032077774,0.833662197,0.185596735,0.727525251,0.661105536,0.130179685
82,SONC,Sonic Corp,NAS (USA),Restaurants,1592,0.818097149,0.963200388,0.113527499,0.661384417,0.16693579,0.422696551,,0.410322523,0.181112466,0.434590454,0.607849134,0.492897109,0.556853894,0.117474367,0.137498216,0.240422726,0.014973146,0.595083242,0.177491604,0.488586723,0.318470211,0.214888155
83,RIGL,Rigel Pharmaceuticals Inc,NAS (USA),Drug Manufacturers,367,0.568119557,0.385553356,0.040835534,,0.609240677,,0.626419611,0.665905683,0.054223762,0.0176662,0.683213171,,0.622334106,,0.443926482,0.193069977,0.037279515,0.010125829,0.433985481,0.13776558,0.296864547,0.911074441
84,JAZZ,Jazz Pharmaceuticals PLC,NAS (USA),Biotechnology,11315,0.51430486,0.574298855,0.202840154,0.419412199,0.661696592,,0.049809229,0.405354625,0.791992956,0.10088988,0.007753038,0.279148734,0.413980329,,0.374697366,0.580468183,0.387098586,0.161602142,0.958275147,0.206676672,0.159699283,0.306197286
85,PERY,Perry Ellis International Inc,NAS (USA),Manufacturing - Apparel & Furniture,386,0.255742946,0.270038249,0.165532672,,0.097883628,,0.687578467,0.205955508,0.191748956,0.340663362,0.56097836,,0.1322317,,0.703355708,0.457923955,0.26105602,0.977379063,0.299090461,0.029948864,0.90108146,0.223689036
86,AEC,Associated Estates Realty Corp,NYSE (USA),REITs,1413,0.742601631,0.052056535,0.584872427,0.042654955,0.360121269,,0.340343303,0.827526555,0.625298569,0.305542648,0.025111052,0.051629957,0.055821376,,0.551406776,0.607889863,0.079693988,0.614533438,0.182543658,0.396899356,0.595261234,0.145214521
87,REGN,Regeneron Pharmaceuticals Inc,NAS (USA),Biotechnology,47534,0.781208796,0.044467946,0.234758357,0.095984114,0.772145069,,0.78329409,0.422615906,0.379026194,0.016553406,0.366673558,0.270724866,0.299760668,,0.788591958,0.369664067,0.090267459,0.900353662,0.314894683,0.061036375,0.066474282,0.184818482
88,INGR,Ingredion Inc,NYSE (USA),Consumer Packaged Goods,5562,0.990627982,0.787448523,0.335184314,0.481357363,0.144703625,,0.119399504,0.90274325,0.206093984,0.279859105,0.070297533,0.316346498,0.19951002,0.000498743,0.02497949,0.644987196,0.455618139,0.057596131,0.885486505,0.149266066,0.499838993,0.46589659
89,HSY,The Hershey Co,NYSE (USA),Consumer Packaged Goods,21646,0.573039892,0.068811579,0.652228589,0.975023701,0.107509958,,0.339100059,0.203551012,0.244573095,0.620689692,0.081004326,0.152461064,0.310948,0.012921917,0.613032392,0.679317535,0.654393762,0.875506248,0.611883834,0.34920051,0.162219212,0.230473047
90,MCRS,Micros Systems Inc,NAS (USA),Application Software,5093,0.239103843,0.211022817,0.320693143,0.122854968,0.666496094,,0.674109999,0.614608283,0.32934886,0.104552079,0.760156159,0.102520202,0.475538456,0.295389708,,,0.088378821,0.280005847,0.189130155,0.309506251,0.752597405,
